log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	Mbol 	Mu 	Mb 	Mv 	Mr 	Mi 	Mj 	Mh 	Mk 	Flum
	10.00	0.15000001	0.1500	-2.3670	3.5647	5.1858	10.687	14.722	13.483	12.001	11.018	10.003	8.989	8.157	7.931	-9.59274740
	10.00	0.20000000	0.2000	-2.0723	3.5878	5.1084	9.951	13.606	12.400	11.010	10.105	9.266	8.346	7.568	7.364	-6.50542581
	10.00	0.25000000	0.2500	-1.8807	3.5991	5.0591	9.472	12.948	11.779	10.443	9.575	8.826	7.907	7.203	7.024	-4.81334753
	10.00	0.30000001	0.3000	-1.7323	3.6074	5.0230	9.101	12.433	11.297	10.006	9.171	8.462	7.566	6.881	6.723	-3.76315853
	10.00	0.34999999	0.3500	-1.6105	3.6140	4.9945	8.796	12.013	10.904	9.649	8.841	8.153	7.284	6.599	6.457	-3.05614800
	10.00	0.40000001	0.4000	-1.4806	3.6194	4.9443	8.472	11.610	10.516	9.286	8.497	7.826	6.972	6.279	6.151	-2.55202682
	10.00	0.44999999	0.4500	-1.3524	3.6262	4.8946	8.151	11.189	10.115	8.916	8.150	7.502	6.667	5.967	5.857	-2.17685426
	10.00	0.50000000	0.5000	-1.2264	3.6345	4.8474	7.836	10.731	9.696	8.540	7.805	7.183	6.369	5.679	5.580	-1.88823797
	10.00	0.60000002	0.5999	-0.9445	3.6546	4.7251	7.131	9.653	8.737	7.685	7.026	6.466	5.706	5.060	4.976	-1.47625717
	10.00	0.61565834	0.6155	-0.8915	3.6604	4.7063	6.999	9.405	8.539	7.513	6.876	6.331	5.590	4.961	4.881	-1.42579650
	10.00	0.65592277	0.6557	-0.7568	3.6756	4.6598	6.662	8.763	8.031	7.075	6.493	5.989	5.298	4.713	4.643	-1.30892594
	10.00	0.69088751	0.6906	-0.6409	3.6895	4.6220	6.372	8.215	7.610	6.705	6.166	5.694	5.051	4.510	4.446	-1.22029918
	10.00	0.69999999	0.6997	-0.6108	3.6932	4.6125	6.297	8.072	7.500	6.609	6.081	5.617	4.987	4.458	4.396	-1.19890256
	10.00	0.70311958	0.7028	-0.5999	3.6948	4.6101	6.270	8.014	7.458	6.573	6.049	5.589	4.965	4.441	4.380	-1.19172713
	10.00	0.73184031	0.7315	-0.4989	3.7100	4.5871	6.017	7.500	7.078	6.250	5.765	5.335	4.763	4.289	4.234	-1.12902664
	10.00	0.75772381	0.7573	-0.4076	3.7231	4.5632	5.789	7.058	6.748	5.970	5.517	5.111	4.581	4.148	4.099	-1.07727473
	10.00	0.78148472	0.7809	-0.3232	3.7347	4.5387	5.578	6.677	6.456	5.724	5.300	4.912	4.417	4.013	3.970	-1.03329319
	10.00	0.80000001	0.7994	-0.2569	3.7434	4.5172	5.412	6.394	6.234	5.536	5.130	4.755	4.287	3.904	3.864	-1.00113983
	10.00	0.81253296	0.8118	-0.2105	3.7486	4.4985	5.296	6.217	6.089	5.409	5.012	4.645	4.195	3.822	3.782	-0.98034942
	10.00	0.82954782	0.8288	-0.1461	3.7553	4.4697	5.135	5.979	5.891	5.235	4.848	4.490	4.064	3.705	3.665	-0.95330156
	10.00	0.84609622	0.8452	-0.0818	3.7614	4.4383	4.975	5.750	5.696	5.063	4.687	4.338	3.931	3.587	3.546	-0.92821710
	10.00	0.86350483	0.8625	-0.0119	3.7674	4.4012	4.800	5.516	5.491	4.882	4.519	4.177	3.787	3.459	3.418	-0.90304375
	10.00	0.87302196	0.8719	0.0272	3.7702	4.3781	4.702	5.390	5.378	4.781	4.424	4.086	3.703	3.384	3.342	-0.88977921
	10.00	0.88243937	0.8812	0.0663	3.7729	4.3544	4.604	5.266	5.267	4.680	4.329	3.995	3.619	3.307	3.265	-0.87698395
	10.00	0.89199293	0.8907	0.1058	3.7752	4.3286	4.506	5.146	5.156	4.579	4.233	3.902	3.531	3.227	3.184	-0.86432749
	10.00	0.89531511	0.8940	0.1196	3.7759	4.3195	4.471	5.105	5.118	4.543	4.199	3.870	3.501	3.199	3.155	-0.86000059
	10.00	0.89937323	0.8980	0.1363	3.7767	4.3077	4.429	5.056	5.072	4.501	4.158	3.830	3.463	3.163	3.119	-0.85476610
	10.00	0.89999998	0.8986	0.1388	3.7768	4.3060	4.423	5.048	5.065	4.494	4.152	3.824	3.457	3.158	3.114	-0.85396262
	10.00	0.90135616	0.8999	0.1449	3.7771	4.3016	4.408	5.031	5.049	4.479	4.137	3.809	3.443	3.144	3.101	-0.85222849
