log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	Mbol 	Mu 	Mb 	Mv 	Mr 	Mi 	Mj 	Mh 	Mk 	Flum
	8.00	0.15000001	0.1500	-2.3818	3.5629	5.1935	10.724	14.792	13.555	12.067	11.077	10.048	9.016	8.190	7.966	-9.59274740
	8.00	0.20000000	0.2000	-2.0964	3.5867	5.1282	10.011	13.694	12.481	11.081	10.170	9.320	8.398	7.611	7.403	-6.50542581
	8.00	0.25000000	0.2500	-1.9075	3.5982	5.0823	9.539	13.043	11.866	10.520	9.647	8.887	7.965	7.252	7.071	-4.81334753
	8.00	0.30000001	0.3000	-1.7606	3.6065	5.0478	9.172	12.534	11.389	10.087	9.245	8.530	7.627	6.939	6.778	-3.76315853
	8.00	0.34999999	0.3500	-1.6399	3.6131	5.0204	8.870	12.112	10.996	9.732	8.917	8.224	7.349	6.662	6.517	-3.05614800
	8.00	0.40000001	0.4000	-1.4907	3.6184	4.9504	8.497	11.650	10.553	9.319	8.526	7.852	6.995	6.303	6.173	-2.55202682
	8.00	0.44999999	0.4500	-1.3798	3.6250	4.9170	8.219	11.274	10.197	8.993	8.223	7.569	6.733	6.035	5.922	-2.17685426
	8.00	0.50000000	0.5000	-1.2633	3.6328	4.8776	7.928	10.853	9.810	8.645	7.903	7.275	6.458	5.767	5.665	-1.88823797
	8.00	0.60000002	0.6000	-1.0074	3.6515	4.7756	7.289	9.872	8.933	7.865	7.194	6.624	5.856	5.203	5.116	-1.47625717
	8.00	0.69999999	0.7000	-0.7296	3.6780	4.6708	6.594	8.649	7.938	6.992	6.418	5.920	5.237	4.660	4.591	-1.19890256
	8.00	0.80000001	0.8000	-0.4620	3.7220	4.6371	5.925	7.214	6.891	6.109	5.654	5.244	4.713	4.276	4.226	-1.00113983
	8.00	0.89999998	0.9000	-0.2207	3.7550	4.5791	5.322	6.172	6.081	5.422	5.034	4.676	4.248	3.889	3.849	-0.85396262
	8.00	1.00000000	1.0000	-0.0073	3.7823	4.5204	4.788	5.365	5.408	4.854	4.521	4.198	3.847	3.556	3.517	-0.74074074
	8.00	1.10000002	1.1000	0.1794	3.8040	4.4619	4.321	4.746	4.843	4.366	4.071	3.785	3.484	3.238	3.199	-0.65130752
	8.00	1.20000005	1.2000	0.3525	3.8225	4.4007	3.889	4.221	4.339	3.921	3.659	3.402	3.146	2.935	2.902	-0.57912395
	8.00	1.29999995	1.2999	0.5349	3.8489	4.3586	3.433	3.676	3.799	3.455	3.241	3.025	2.829	2.669	2.641	-0.51980772
	8.00	1.39999998	1.3999	0.6762	3.8759	4.3574	3.079	3.268	3.352	3.084	2.919	2.756	2.608	2.499	2.479	-0.47031994
	8.00	1.50000000	1.4999	0.8044	3.9043	4.3729	2.759	2.967	2.951	2.762	2.667	2.565	2.467	2.399	2.389	-0.42849231
	8.00	1.60000002	1.5999	0.9249	3.9302	4.3841	2.458	2.645	2.606	2.488	2.443	2.379	2.328	2.292	2.289	-0.39273920
	8.00	1.70000005	1.6999	1.0350	3.9530	4.3914	2.182	2.366	2.334	2.268	2.256	2.220	2.198	2.187	2.184	-0.36187632
	8.00	1.79999995	1.8000	1.1399	3.9730	4.3915	1.920	2.100	2.103	2.074	2.080	2.068	2.069	2.069	2.069	-0.33500274
