log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	Mbol 	Mu 	Mb 	Mv 	Mr 	Mi 	Mj 	Mh 	Mk 	Flum
	7.50	0.15000001	0.1500	-2.3819	3.5629	5.1936	10.725	14.793	13.555	12.067	11.077	10.049	9.017	8.190	7.967	-9.59274740
	7.50	0.20000000	0.2000	-2.0965	3.5867	5.1284	10.011	13.695	12.482	11.082	10.171	9.320	8.398	7.611	7.403	-6.50542581
	7.50	0.25000000	0.2500	-1.9077	3.5982	5.0825	9.539	13.044	11.866	10.521	9.647	8.888	7.966	7.252	7.071	-4.81334753
	7.50	0.30000001	0.3000	-1.7608	3.6065	5.0479	9.172	12.535	11.389	10.088	9.245	8.531	7.628	6.939	6.778	-3.76315853
	7.50	0.34999999	0.3500	-1.6401	3.6131	5.0206	8.870	12.113	10.997	9.733	8.918	8.225	7.350	6.663	6.518	-3.05614800
	7.50	0.40000001	0.4000	-1.4908	3.6184	4.9504	8.497	11.650	10.553	9.319	8.526	7.852	6.995	6.303	6.173	-2.55202682
	7.50	0.44999999	0.4500	-1.3800	3.6250	4.9172	8.220	11.275	10.198	8.994	8.224	7.570	6.733	6.036	5.922	-2.17685426
	7.50	0.50000000	0.5000	-1.2637	3.6328	4.8779	7.929	10.854	9.811	8.646	7.904	7.276	6.459	5.768	5.666	-1.88823797
	7.50	0.60000002	0.6000	-1.0080	3.6515	4.7761	7.290	9.873	8.935	7.867	7.196	6.626	5.857	5.204	5.118	-1.47625717
	7.50	0.69999999	0.7000	-0.7306	3.6779	4.6714	6.596	8.653	7.941	6.995	6.420	5.923	5.239	4.662	4.593	-1.19890256
	7.50	0.80000001	0.8000	-0.4637	3.7219	4.6383	5.929	7.220	6.896	6.114	5.658	5.248	4.717	4.279	4.230	-1.00113983
	7.50	0.89999998	0.9000	-0.2233	3.7547	4.5805	5.328	6.182	6.089	5.429	5.040	4.683	4.253	3.894	3.854	-0.85396262
	7.50	1.00000000	1.0000	-0.0113	3.7819	4.5231	4.798	5.378	5.419	4.864	4.531	4.207	3.856	3.564	3.524	-0.74074074
	7.50	1.10000002	1.1000	0.1725	3.8035	4.4669	4.339	4.766	4.862	4.384	4.087	3.801	3.499	3.252	3.212	-0.65130752
	7.50	1.20000005	1.2000	0.3429	3.8215	4.4062	3.913	4.249	4.367	3.946	3.681	3.423	3.164	2.952	2.918	-0.57912395
	7.50	1.29999995	1.3000	0.5298	3.8490	4.3643	3.446	3.688	3.811	3.467	3.254	3.038	2.842	2.682	2.655	-0.51980772
	7.50	1.39999998	1.4000	0.6704	3.8762	4.3644	3.094	3.282	3.367	3.098	2.934	2.771	2.624	2.515	2.496	-0.47031994
	7.50	1.50000000	1.5000	0.7976	3.9046	4.3810	2.776	2.983	2.968	2.779	2.686	2.583	2.485	2.418	2.408	-0.42849231
