log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	Mbol 	Mu 	Mb 	Mv 	Mr 	Mi 	Mj 	Mh 	Mk 	Flum
	9.50	0.15000001	0.1500	-2.3772	3.5635	5.1911	10.713	14.770	13.532	12.047	11.059	10.034	9.008	8.180	7.955	-9.59274740
	9.50	0.20000000	0.2000	-2.0889	3.5870	5.1221	9.992	13.667	12.456	11.059	10.150	9.303	8.382	7.598	7.391	-6.50542581
	9.50	0.25000000	0.2500	-1.8992	3.5985	5.0751	9.518	13.014	11.839	10.496	9.625	8.868	7.947	7.237	7.057	-4.81334753
	9.50	0.30000001	0.3000	-1.7519	3.6068	5.0401	9.150	12.503	11.360	10.062	9.222	8.509	7.608	6.921	6.761	-3.76315853
	9.50	0.34999999	0.3500	-1.6308	3.6134	5.0124	8.847	12.080	10.967	9.706	8.893	8.202	7.330	6.643	6.499	-3.05614800
	9.50	0.40000001	0.4000	-1.4876	3.6187	4.9485	8.489	11.638	10.542	9.309	8.517	7.844	6.988	6.296	6.166	-2.55202682
	9.50	0.44999999	0.4500	-1.3695	3.6254	4.9084	8.194	11.243	10.167	8.965	8.196	7.544	6.708	6.009	5.897	-2.17685426
	9.50	0.50000000	0.5000	-1.2495	3.6334	4.8659	7.894	10.809	9.768	8.606	7.866	7.240	6.424	5.733	5.633	-1.88823797
	9.50	0.60000002	0.6000	-0.9848	3.6519	4.7543	7.232	9.809	8.872	7.806	7.136	6.568	5.800	5.147	5.061	-1.47625717
	9.50	0.68820286	0.6881	-0.7246	3.6787	4.6612	6.582	8.623	7.919	6.975	6.404	5.908	5.227	4.652	4.583	-1.22673002
	9.50	0.69999999	0.6999	-0.6917	3.6822	4.6498	6.499	8.476	7.804	6.873	6.312	5.824	5.155	4.592	4.524	-1.19890256
	9.50	0.77959359	0.7795	-0.4590	3.7189	4.6102	5.917	7.253	6.907	6.112	5.650	5.235	4.694	4.248	4.197	-1.03667848
	9.50	0.80000001	0.7998	-0.4024	3.7273	4.5987	5.776	6.986	6.706	5.944	5.502	5.101	4.585	4.162	4.115	-1.00113983
	9.50	0.85150570	0.8513	-0.2609	3.7468	4.5623	5.422	6.367	6.226	5.539	5.138	4.768	4.313	3.937	3.896	-0.92026526
	9.50	0.89383936	0.8936	-0.1484	3.7617	4.5303	5.141	5.915	5.863	5.229	4.853	4.505	4.099	3.754	3.714	-0.86191798
	9.50	0.89999998	0.8997	-0.1323	3.7638	4.5255	5.101	5.854	5.812	5.187	4.815	4.469	4.069	3.730	3.690	-0.85396262
	9.50	0.91417503	0.9139	-0.0952	3.7680	4.5120	5.008	5.719	5.698	5.089	4.727	4.386	3.998	3.670	3.630	-0.83613538
	9.50	0.94509411	0.9447	-0.0151	3.7768	4.4817	4.808	5.430	5.453	4.879	4.536	4.205	3.842	3.539	3.499	-0.79941981
	9.50	0.97173840	0.9713	0.0529	3.7839	4.4539	4.638	5.203	5.248	4.701	4.371	4.052	3.704	3.418	3.377	-0.76997139
	9.50	0.99515146	0.9946	0.1116	3.7897	4.4289	4.491	5.012	5.072	4.548	4.228	3.918	3.584	3.310	3.270	-0.74561705
	9.50	1.00000000	0.9995	0.1236	3.7909	4.4237	4.461	4.974	5.036	4.517	4.198	3.891	3.559	3.288	3.248	-0.74074074
	9.50	1.00532866	1.0048	0.1372	3.7922	4.4175	4.427	4.930	4.996	4.481	4.165	3.860	3.531	3.263	3.223	-0.73544525
	9.50	1.02655530	1.0259	0.1913	3.7973	4.3931	4.292	4.758	4.837	4.341	4.033	3.737	3.420	3.163	3.123	-0.71499015
	9.50	1.04547894	1.0448	0.2392	3.8014	4.3696	4.172	4.615	4.701	4.218	3.918	3.629	3.322	3.072	3.033	-0.69757449
	9.50	1.06282485	1.0621	0.2824	3.8050	4.3477	4.064	4.487	4.579	4.107	3.813	3.530	3.231	2.989	2.950	-0.68224905
	9.50	1.07876408	1.0779	0.3213	3.8081	4.3276	3.967	4.373	4.469	4.007	3.718	3.441	3.149	2.913	2.875	-0.66867562
	9.50	1.09333622	1.0924	0.3558	3.8106	4.3091	3.881	4.272	4.372	3.919	3.634	3.361	3.075	2.844	2.808	-0.65667228
	9.50	1.10000002	1.0991	0.3710	3.8118	4.3011	3.842	4.228	4.329	3.879	3.597	3.325	3.043	2.814	2.778	-0.65130752
	9.50	1.10167575	1.1007	0.3752	3.8121	4.2989	3.832	4.215	4.318	3.869	3.587	3.316	3.034	2.806	2.770	-0.64997045
	9.50	1.11021101	1.1092	0.3955	3.8136	4.2878	3.781	4.157	4.261	3.817	3.538	3.269	2.990	2.765	2.730	-0.64323366
	9.50	1.13029563	1.1292	0.4406	3.8164	4.2620	3.669	4.033	4.136	3.702	3.428	3.163	2.892	2.673	2.639	-0.62785154
	9.50	1.15902293	1.1578	0.5007	3.8188	4.2222	3.518	3.874	3.975	3.549	3.280	3.019	2.754	2.540	2.507	-0.60693474
	9.50	1.20000005	1.1984	0.5798	3.8182	4.1557	3.321	3.682	3.777	3.350	3.080	2.819	2.552	2.339	2.307	-0.57912395
	9.50	1.21232963	1.2107	0.6034	3.8174	4.1332	3.261	3.627	3.720	3.291	3.020	2.757	2.488	2.274	2.242	-0.57118693
	9.50	1.23671973	1.2348	0.6493	3.8143	4.0835	3.147	3.528	3.615	3.178	2.900	2.632	2.356	2.136	2.105	-0.55603226
	9.50	1.26051950	1.2584	0.6937	3.8100	4.0299	3.036	3.442	3.521	3.070	2.784	2.511	2.224	1.996	1.964	-0.54190644
	9.50	1.27211082	1.2699	0.7159	3.8075	4.0020	2.980	3.402	3.476	3.017	2.727	2.451	2.158	1.925	1.892	-0.53525108
	9.50	1.28335834	1.2810	0.7410	3.8058	3.9739	2.917	3.351	3.420	2.955	2.663	2.385	2.088	1.851	1.817	-0.52892795
	9.50	1.28532779	1.2829	0.7461	3.8057	3.9689	2.905	3.339	3.408	2.943	2.650	2.372	2.074	1.838	1.803	-0.52783413
	9.50	1.29240894	1.2899	0.7752	3.8081	3.9516	2.832	3.253	3.323	2.867	2.579	2.303	2.011	1.781	1.747	-0.52393365
	9.50	1.29497385	1.2924	0.7981	3.8119	3.9451	2.775	3.173	3.248	2.805	2.524	2.253	1.970	1.749	1.717	-0.52253319
	9.50	1.29676318	1.2942	0.8357	3.8195	3.9384	2.681	3.045	3.123	2.705	2.438	2.181	1.917	1.710	1.680	-0.52156006
	9.50	1.29735911	1.2948	0.8717	3.8263	3.9298	2.591	2.925	3.007	2.610	2.356	2.111	1.865	1.671	1.641	-0.52123666
	9.50	1.29751611	1.2950	0.8843	3.8284	3.9256	2.559	2.885	2.967	2.577	2.327	2.086	1.844	1.655	1.625	-0.52115152
	9.50	1.29832578	1.2957	0.8860	3.8180	3.8827	2.555	2.928	3.001	2.579	2.311	2.050	1.783	1.574	1.543	-0.52071281
	9.50	1.29999995	1.2974	0.8921	3.8153	3.8662	2.540	2.925	2.995	2.565	2.292	2.027	1.752	1.539	1.507	-0.51980772
