log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	Mbol 	Mu 	Mb 	Mv 	Mr 	Mi 	Mj 	Mh 	Mk 	Flum
	8.50	0.15000001	0.1500	-2.3814	3.5630	5.1933	10.724	14.791	13.553	12.065	11.076	10.047	9.016	8.189	7.966	-9.59274740
	8.50	0.20000000	0.2000	-2.0958	3.5867	5.1278	10.010	13.692	12.479	11.080	10.169	9.319	8.397	7.610	7.402	-6.50542581
	8.50	0.25000000	0.2500	-1.9069	3.5982	5.0818	9.537	13.041	11.864	10.519	9.645	8.886	7.964	7.251	7.070	-4.81334753
	8.50	0.30000001	0.3000	-1.7600	3.6065	5.0472	9.170	12.532	11.387	10.085	9.243	8.529	7.626	6.938	6.777	-3.76315853
	8.50	0.34999999	0.3500	-1.6393	3.6131	5.0198	8.868	12.110	10.994	9.730	8.916	8.223	7.348	6.661	6.516	-3.05614800
	8.50	0.40000001	0.4000	-1.4905	3.6184	4.9503	8.496	11.649	10.552	9.318	8.525	7.851	6.994	6.302	6.172	-2.55202682
	8.50	0.44999999	0.4500	-1.3790	3.6250	4.9164	8.218	11.272	10.195	8.991	8.221	7.568	6.731	6.033	5.920	-2.17685426
	8.50	0.50000000	0.5000	-1.2624	3.6329	4.8768	7.926	10.850	9.807	8.642	7.900	7.272	6.456	5.764	5.663	-1.88823797
	8.50	0.60000002	0.6000	-1.0057	3.6515	4.7739	7.284	9.868	8.929	7.861	7.190	6.620	5.851	5.198	5.112	-1.47625717
	8.50	0.69999999	0.7000	-0.7265	3.6783	4.6689	6.586	8.636	7.928	6.982	6.409	5.912	5.230	4.654	4.585	-1.19890256
	8.50	0.80000001	0.8000	-0.4566	3.7225	4.6336	5.911	7.193	6.874	6.094	5.640	5.231	4.701	4.265	4.216	-1.00113983
	8.50	0.89999998	0.9000	-0.2125	3.7560	4.5746	5.301	6.141	6.055	5.399	5.013	4.657	4.232	3.875	3.835	-0.85396262
	8.50	1.00000000	1.0000	0.0054	3.7833	4.5117	4.757	5.326	5.371	4.821	4.490	4.168	3.820	3.532	3.492	-0.74074074
	8.50	1.06151807	1.0615	0.1272	3.7971	4.4712	4.452	4.916	4.998	4.501	4.193	3.896	3.578	3.321	3.281	-0.68338313
	8.50	1.10000002	1.0999	0.2013	3.8054	4.4458	4.267	4.683	4.782	4.311	4.017	3.734	3.437	3.194	3.155	-0.65130752
	8.50	1.15592527	1.1558	0.3046	3.8168	4.4095	4.009	4.366	4.481	4.044	3.772	3.507	3.236	3.015	2.979	-0.60913150
	8.50	1.20000005	1.1999	0.3828	3.8258	4.3835	3.813	4.132	4.251	3.843	3.587	3.335	3.087	2.883	2.851	-0.57912395
	8.50	1.23632491	1.2362	0.4485	3.8349	4.3670	3.649	3.935	4.057	3.675	3.436	3.197	2.971	2.784	2.754	-0.55627200
	8.50	1.29999995	1.2998	0.5512	3.8486	4.3411	3.392	3.636	3.757	3.413	3.199	2.983	2.786	2.626	2.598	-0.51980772
	8.50	1.39999998	1.3998	0.6955	3.8755	4.3365	3.031	3.221	3.303	3.035	2.869	2.706	2.558	2.448	2.428	-0.47031994
	8.50	1.50000000	1.4997	0.8274	3.9039	4.3482	2.702	2.910	2.891	2.703	2.608	2.505	2.407	2.338	2.328	-0.42849231
	8.50	1.60000002	1.5997	0.9520	3.9288	4.3511	2.390	2.577	2.535	2.417	2.369	2.305	2.251	2.214	2.211	-0.39273920
	8.50	1.70000005	1.6996	1.0652	3.9495	4.3473	2.107	2.289	2.254	2.183	2.167	2.128	2.100	2.087	2.081	-0.36187632
	8.50	1.75080323	1.7506	1.1200	3.9586	4.3417	1.970	2.149	2.125	2.073	2.067	2.040	2.024	2.018	2.016	-0.34777297
	8.50	1.79999995	1.8000	1.1719	3.9666	4.3339	1.840	2.017	2.008	1.972	1.973	1.957	1.948	1.948	1.948	-0.33500274
	8.50	1.89999998	1.8993	1.2731	3.9814	4.3151	1.587	1.760	1.783	1.773	1.785	1.781	1.796	1.798	1.799	-0.31142170
	8.50	2.00000000	1.9992	1.3703	3.9946	4.2928	1.344	1.521	1.577	1.590	1.608	1.615	1.647	1.655	1.662	-0.29058670
	8.50	2.01511979	2.0143	1.3846	3.9964	4.2893	1.309	1.486	1.546	1.562	1.581	1.589	1.624	1.633	1.641	-0.28764714
	8.50	2.20000005	2.1988	1.5556	4.0168	4.2378	0.881	1.063	1.189	1.231	1.259	1.277	1.341	1.359	1.369	-0.25550276
	8.50	2.21804667	2.2168	1.5716	4.0186	4.2324	0.841	1.023	1.156	1.199	1.228	1.247	1.314	1.333	1.343	-0.25270033
	8.50	2.37539911	2.3738	1.7098	4.0319	4.1772	0.496	0.679	0.858	0.920	0.952	0.981	1.056	1.082	1.097	-0.23036783
	8.50	2.50000000	2.4980	1.8178	4.0397	4.1224	0.225	0.407	0.615	0.689	0.721	0.757	0.837	0.866	0.885	-0.21500434
	8.50	2.50966358	2.5076	1.8259	4.0402	4.1182	0.205	0.387	0.597	0.671	0.704	0.740	0.820	0.850	0.869	-0.21388745
	8.50	2.62049127	2.6180	1.9201	4.0443	4.0592	-0.030	0.152	0.379	0.458	0.491	0.530	0.613	0.645	0.665	-0.20176673
	8.50	2.71400476	2.7110	1.9995	4.0452	3.9985	-0.229	-0.050	0.182	0.264	0.297	0.337	0.421	0.453	0.473	-0.19243848
	8.50	2.79343462	2.7900	2.0671	4.0429	3.9342	-0.398	-0.228	0.002	0.084	0.115	0.154	0.237	0.267	0.288	-0.18508842
	8.50	2.86140871	2.8575	2.1253	4.0380	3.8669	-0.543	-0.384	-0.166	-0.086	-0.056	-0.021	0.059	0.086	0.107	-0.17917746
	8.50	2.92001009	2.9156	2.1756	4.0307	3.7958	-0.669	-0.523	-0.325	-0.249	-0.221	-0.191	-0.116	-0.093	-0.075	-0.17434013
	8.50	2.97053552	2.9657	2.2193	4.0211	3.7213	-0.778	-0.652	-0.479	-0.408	-0.383	-0.358	-0.293	-0.273	-0.257	-0.17034889
	8.50	3.00000000	2.9948	2.2448	4.0145	3.6735	-0.842	-0.724	-0.570	-0.503	-0.481	-0.459	-0.403	-0.386	-0.372	-0.16809413
	8.50	3.01350164	3.0082	2.2563	4.0115	3.6521	-0.871	-0.757	-0.611	-0.546	-0.524	-0.505	-0.452	-0.437	-0.423	-0.16707820
	8.50	3.03303242	3.0275	2.2741	4.0068	3.6180	-0.915	-0.808	-0.675	-0.613	-0.592	-0.577	-0.529	-0.516	-0.504	-0.16562741
	8.50	3.05107570	3.0453	2.2922	4.0027	3.5861	-0.960	-0.859	-0.737	-0.678	-0.658	-0.645	-0.602	-0.591	-0.580	-0.16430649
	8.50	3.06545639	3.0595	2.3098	4.0018	3.5669	-1.004	-0.906	-0.785	-0.726	-0.706	-0.694	-0.653	-0.642	-0.631	-0.16326677
