log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	Mbol 	Mu 	Mb 	Mv 	Mr 	Mi 	Mj 	Mh 	Mk 	Flum
	7.00	0.15000001	0.1500	-2.3819	3.5629	5.1936	10.725	14.793	13.555	12.068	11.077	10.049	9.017	8.190	7.967	-9.59274740
	7.00	0.20000000	0.2000	-2.0966	3.5867	5.1284	10.011	13.695	12.482	11.082	10.171	9.320	8.398	7.611	7.403	-6.50542581
	7.00	0.25000000	0.2500	-1.9078	3.5982	5.0825	9.539	13.044	11.867	10.521	9.647	8.888	7.966	7.252	7.071	-4.81334753
	7.00	0.30000001	0.3000	-1.7609	3.6065	5.0480	9.172	12.535	11.390	10.088	9.246	8.531	7.628	6.940	6.778	-3.76315853
	7.00	0.34999999	0.3500	-1.6402	3.6131	5.0206	8.870	12.113	10.997	9.733	8.918	8.225	7.350	6.663	6.518	-3.05614800
	7.00	0.40000001	0.4000	-1.4908	3.6184	4.9505	8.497	11.650	10.554	9.319	8.526	7.852	6.995	6.303	6.173	-2.55202682
	7.00	0.44999999	0.4500	-1.3801	3.6250	4.9173	8.220	11.275	10.198	8.994	8.224	7.570	6.733	6.036	5.922	-2.17685426
	7.00	0.50000000	0.5000	-1.2638	3.6328	4.8779	7.929	10.854	9.811	8.646	7.904	7.276	6.459	5.768	5.666	-1.88823797
	7.00	0.60000002	0.6000	-1.0081	3.6515	4.7763	7.290	9.874	8.935	7.867	7.196	6.626	5.857	5.205	5.118	-1.47625717
	7.00	0.69999999	0.7000	-0.7309	3.6779	4.6716	6.597	8.654	7.942	6.995	6.421	5.923	5.240	4.663	4.593	-1.19890256
	7.00	0.80000001	0.8000	-0.4642	3.7218	4.6386	5.931	7.223	6.898	6.115	5.659	5.250	4.718	4.280	4.231	-1.00113983
	7.00	0.89999998	0.9000	-0.2241	3.7546	4.5809	5.330	6.186	6.091	5.431	5.043	4.685	4.255	3.895	3.855	-0.85396262
	7.00	1.00000000	1.0000	-0.0126	3.7818	4.5240	4.802	5.382	5.423	4.867	4.534	4.210	3.859	3.567	3.527	-0.74074074
	7.00	1.10000002	1.1000	0.1703	3.8034	4.4686	4.344	4.772	4.868	4.390	4.093	3.806	3.503	3.257	3.217	-0.65130752
	7.00	1.20000005	1.2000	0.3399	3.8212	4.4079	3.920	4.258	4.376	3.953	3.689	3.430	3.170	2.957	2.923	-0.57912395
	7.00	1.29999995	1.3000	0.5281	3.8491	4.3661	3.450	3.692	3.815	3.472	3.258	3.043	2.847	2.687	2.660	-0.51980772
	7.00	1.39999998	1.4000	0.6686	3.8763	4.3666	3.099	3.286	3.371	3.103	2.939	2.776	2.629	2.521	2.501	-0.47031994
	7.00	1.50000000	1.5000	0.7955	3.9048	4.3836	2.781	2.989	2.973	2.785	2.691	2.589	2.491	2.424	2.414	-0.42849231
	7.00	1.60000002	1.6000	0.9143	3.9310	4.3979	2.484	2.672	2.634	2.517	2.472	2.409	2.359	2.324	2.320	-0.39273920
	7.00	1.70000005	1.7000	1.0247	3.9544	4.4075	2.208	2.393	2.361	2.298	2.288	2.253	2.233	2.223	2.222	-0.36187632
	7.00	1.79999995	1.8000	1.1341	3.9752	4.4058	1.935	2.116	2.122	2.095	2.103	2.092	2.098	2.098	2.098	-0.33500274
	7.00	1.89999998	1.9000	1.2278	3.9942	4.4117	1.701	1.887	1.939	1.944	1.963	1.969	1.999	2.008	2.014	-0.31142170
	7.00	2.00000000	2.0000	1.3302	4.0117	4.4015	1.445	1.640	1.743	1.770	1.796	1.811	1.868	1.883	1.893	-0.29058670
	7.00	2.20000005	2.2000	1.5066	4.0443	4.3973	1.004	1.219	1.425	1.491	1.529	1.562	1.647	1.677	1.697	-0.25550276
	7.00	2.50000000	2.4999	1.7169	4.0830	4.3972	0.478	0.759	1.076	1.170	1.212	1.270	1.393	1.427	1.459	-0.21500434
	7.00	3.00000000	2.9999	2.0420	4.1323	4.3484	-0.335	0.066	0.518	0.638	0.692	0.763	0.930	0.977	1.015	-0.16809413
	7.00	3.50000000	3.4998	2.2739	4.1754	4.3558	-0.915	-0.375	0.169	0.312	0.372	0.459	0.658	0.718	0.761	-0.13651311
	7.00	4.00000000	3.9997	2.4743	4.2083	4.3450	-1.416	-0.761	-0.146	0.010	0.081	0.173	0.395	0.463	0.517	-0.11399485
	7.00	4.50000000	4.4996	2.6326	4.2346	4.3428	-1.811	-1.067	-0.403	-0.228	-0.151	-0.049	0.187	0.258	0.319	-0.09723650
	7.00	5.00000000	4.9995	2.7782	4.2578	4.3358	-2.176	-1.344	-0.643	-0.459	-0.377	-0.267	-0.015	0.062	0.125	-0.08434449
	7.00	5.27988386	5.2793	2.8541	4.2689	4.3280	-2.365	-1.490	-0.770	-0.580	-0.495	-0.385	-0.123	-0.045	0.019	-0.07836522
	7.00	6.00000000	5.9992	3.0545	4.2987	4.3025	-2.866	-1.880	-1.106	-0.904	-0.814	-0.695	-0.416	-0.327	-0.257	-0.06594199
	7.00	7.00000000	7.0000	3.2936	4.3332	4.2682	-3.464	-2.348	-1.522	-1.302	-1.202	-1.070	-0.770	-0.683	-0.605	-0.05355301
	7.00	7.51760626	7.5176	3.4035	4.3484	4.2502	-3.739	-2.566	-1.717	-1.490	-1.388	-1.248	-0.944	-0.850	-0.770	-0.04863611
	7.00	8.00000000	8.0000	3.5014	4.3617	4.2324	-3.984	-2.766	-1.896	-1.666	-1.561	-1.421	-1.106	-1.006	-0.926	-0.04471927
	7.00	9.00000000	8.9675	3.6853	4.3858	4.1944	-4.443	-3.143	-2.233	-1.991	-1.881	-1.738	-1.404	-1.302	-1.211	-0.03814511
	7.00	9.17317581	9.1396	3.7148	4.3895	4.1881	-4.517	-3.205	-2.288	-2.045	-1.935	-1.790	-1.454	-1.351	-1.259	-0.03717617
	7.00	10.00000000	9.9609	3.8518	4.4060	4.1543	-4.860	-3.490	-2.548	-2.300	-2.188	-2.035	-1.690	-1.582	-1.490	-0.03308767
	7.00	10.55961514	10.5166	3.9375	4.4158	4.1316	-5.074	-3.668	-2.712	-2.461	-2.348	-2.191	-1.840	-1.730	-1.640	-0.03074265
	7.00	11.76863480	11.7170	4.1145	4.4338	4.0735	-5.516	-4.050	-3.069	-2.808	-2.688	-2.526	-2.166	-2.054	-1.956	-0.02655743
	7.00	12.00000000	11.9467	4.1477	4.4366	4.0600	-5.599	-4.125	-3.141	-2.878	-2.758	-2.594	-2.234	-2.120	-2.021	-0.02586852
	7.00	12.80625153	12.7449	4.2530	4.4451	4.0169	-5.862	-4.366	-3.369	-3.101	-2.981	-2.812	-2.452	-2.333	-2.233	-0.02369444
	7.00	13.81011105	13.7379	4.3793	4.4527	3.9535	-6.178	-4.667	-3.656	-3.386	-3.266	-3.097	-2.728	-2.609	-2.509	-0.02139932
	7.00	14.67685509	14.5945	4.4858	4.4559	3.8859	-6.444	-4.933	-3.914	-3.644	-3.524	-3.355	-2.982	-2.864	-2.763	-0.01971114
	7.00	15.00000000	14.9137	4.5255	4.4559	3.8556	-6.544	-5.037	-4.017	-3.747	-3.627	-3.458	-3.084	-2.967	-2.865	-0.01914005
	7.00	15.39761543	15.2996	4.5690	4.4556	3.8222	-6.652	-5.152	-4.130	-3.860	-3.740	-3.571	-3.197	-3.080	-2.978	-0.01847583
